Time_id,Bengaluru,Arasikere,Hassana,Mysuru,Shivamogga
109,7843.478261,8200,7264,7920,7656.521739
110,8904.347826,8600,8031.333333,8210,8181.818182
111,8775,7350,8338.75,8280,8052.173913
112,8752.380952,8300,7859.5,8352.380952,8140
113,9066.666667,7600,8631.5,9183.333333,9091.666667
114,9581.818182,,9273.5,9235.294118,9186.363636
115,9368,9050,8880,9322.727273,8875
116,9539.130435,8750,8672.666667,9304.761905,8960.869565
117,9400,,8144,9094.736842,8865
118,9414.285714,7300,8580.5,9147.368421,8576.190476
119,9522.727273,,8891,9514.285714,9523.809524
120,9500,,8644.25,9654.545455,8826.315789
121,9125,,8779,9308.333333,9066.666667
122,8945.454545,,8669.833333,9326.086957,9159.090909
123,9222.727273,8700,8311,9286.956522,8763.636364
124,9838.461538,9200,9062.5,9956.521739,11438.09524
125,9645.454545,,9193.333333,9590.47619,9042.857143
126,9150,,8300,9706.666667,9020.833333
127,9220.833333,,9100,9320,9008.333333
128,9000,,8450,9200,9013.636364
129,9386.956522,8700,8933.333333,9200,8991.666667
130,11409.52381,,9600,,10038.09524
131,11800,,9700,,11122.72727
132,11778.26087,,9725,,10660.86957
133,11800,,,4434,10063.63636
134,11800,,9460,,10000
135,11800,5850,10300,,11000
136,10980.95238,,10400,,11000
137,10800,,10810,,11000
138,10829.16667,,,,11000
139,10491.66667,,10410,11345.45455,10375
140,10569.56522,,10200,8750,10000
141,10373.91304,,10300,10504.7619,9934.782609
142,10655.55556,9400,10250,9371.478261,9500
143,10300,9801,9600,10719.04762,9494.444444
144,10192,8275,9950,10102.08333,9500
145,10472.72727,10000,8807,10130.13636,9500
146,10345.45455,9856.4,11025,10039.13043,9500
147,10558.33333,9825,9966.666667,9784.782609,9508.333333
148,10419.04762,9275,10200,11128.57143,9495.238095
149,10272.72727,9747,9400,9671.73913,9468.181818
150,10175,9525,9975,10576,9300
151,10833.33333,9850,10100,9973.684211,9216.666667
152,11659.09091,10600,11100,11065,11000
153,11300,11360,11300,11181.57895,11000
154,11305,10675,11600,11645.45455,11000
155,12131.81818,11850,11800,11652.17391,11045.45455
156,12304,11166.66667,11500,11104.54545,11000
157,12039.13043,10550,11250,11818.18182,11195.65217
158,12019.04762,11598.33333,,10632.25,11500
159,12582.6087,11940,10750,12400,11521.73913
160,13165,11600,,12166.21053,12175
161,13342.85714,12180,,13123.52941,12382.6087
162,15069.56522,,13400,14095.65217,12173.91304
163,15100,14900,,14156.8,12568.18182
164,15208.33333,13000,15000,15100,13413.04348
165,17126.66667,16400,15358,14830,15754.54545
166,19009.52381,17995,17200,16389.47368,16500
